student_id,name,lastname,email,started_at,deleted,version
1,Tomek,Baryla,tomek@gmail.com,2022-05-04,false,0
2,Wojtek,Gola,gol@o2.pl,2023-05-15,false,0
3,Mariusz,Pudzianowski,mario@gmail.com,2021-11-25,false,0
4,Adam,Malysz,redbull@yahoo.com,2023-05-04,false,0
5,Mateusz,Morawiecki,mariusz@gov.pl,2021-01-08,false,0
6,Anna,Lewandowska,anlew@o2.pl,2022-12-12,false,0
7,Robert,Lewandowski,rl9@gmail.com,2023-02-02,false,0
8,Andrzej,Duda,duda@gov.pl,2021-11-26,false,0
9,Tymoteusz,Puchacz,tymek@o2.pl,2022-10-28,false,0
10,Kacper,Puchacz,kacper@o2.pl,2022-10-28,false,0
